NumBins,NumTrees,MaxDepth,MaxFeatures,Accuracy,Loss
128,64,2,sqrt,0.606666667,0.393333333
128,64,2,log2,0.58,0.42
128,64,2,,0.54,0.46
128,64,4,sqrt,0.726666667,0.273333333
128,64,4,log2,0.673333333,0.326666667
128,64,4,,0.68,0.32
128,64,8,sqrt,0.746666667,0.253333333
128,64,8,log2,0.693333333,0.306666667
128,64,8,,0.713333333,0.286666667
128,64,16,sqrt,0.74,0.26
128,64,16,log2,0.7,0.3
128,64,16,,0.713333333,0.286666667
128,64,32,sqrt,0.74,0.26
128,64,32,log2,0.7,0.3
128,64,32,,0.713333333,0.286666667
128,64,64,sqrt,0.74,0.26
128,64,64,log2,0.7,0.3
128,64,64,,0.713333333,0.286666667
128,64,,sqrt,0.74,0.26
128,64,,log2,0.7,0.3
128,64,,,0.713333333,0.286666667
128,128,2,sqrt,0.62,0.38
128,128,2,log2,0.586666667,0.413333333
128,128,2,,0.56,0.44
128,128,4,sqrt,0.72,0.28
128,128,4,log2,0.7,0.3
128,128,4,,0.673333333,0.326666667
128,128,8,sqrt,0.753333333,0.246666667
128,128,8,log2,0.726666667,0.273333333
128,128,8,,0.686666667,0.313333333
128,128,16,sqrt,0.753333333,0.246666667
128,128,16,log2,0.733333333,0.266666667
128,128,16,,0.68,0.32
128,128,32,sqrt,0.753333333,0.246666667
128,128,32,log2,0.733333333,0.266666667
128,128,32,,0.68,0.32
128,128,64,sqrt,0.753333333,0.246666667
128,128,64,log2,0.733333333,0.266666667
128,128,64,,0.68,0.32
128,128,,sqrt,0.753333333,0.246666667
128,128,,log2,0.733333333,0.266666667
128,128,,,0.68,0.32
128,256,2,sqrt,0.613333333,0.386666667
128,256,2,log2,0.606666667,0.393333333
128,256,2,,0.553333333,0.446666667
128,256,4,sqrt,0.713333333,0.286666667
128,256,4,log2,0.72,0.28
128,256,4,,0.666666667,0.333333333
128,256,8,sqrt,0.726666667,0.273333333
128,256,8,log2,0.766666667,0.233333333
128,256,8,,0.68,0.32
128,256,16,sqrt,0.72,0.28
128,256,16,log2,0.746666667,0.253333333
128,256,16,,0.68,0.32
128,256,32,sqrt,0.72,0.28
128,256,32,log2,0.746666667,0.253333333
128,256,32,,0.68,0.32
128,256,64,sqrt,0.72,0.28
128,256,64,log2,0.746666667,0.253333333
128,256,64,,0.68,0.32
128,256,,sqrt,0.72,0.28
128,256,,log2,0.746666667,0.253333333
128,256,,,0.68,0.32
128,512,2,sqrt,0.64,0.36
128,512,2,log2,0.62,0.38
128,512,2,,0.566666667,0.433333333
128,512,4,sqrt,0.726666667,0.273333333
128,512,4,log2,0.733333333,0.266666667
128,512,4,,0.673333333,0.326666667
128,512,8,sqrt,0.74,0.26
128,512,8,log2,0.766666667,0.233333333
128,512,8,,0.7,0.3
128,512,16,sqrt,0.733333333,0.266666667
128,512,16,log2,0.753333333,0.246666667
128,512,16,,0.706666667,0.293333333
128,512,32,sqrt,0.733333333,0.266666667
128,512,32,log2,0.753333333,0.246666667
128,512,32,,0.706666667,0.293333333
128,512,64,sqrt,0.733333333,0.266666667
128,512,64,log2,0.753333333,0.246666667
128,512,64,,0.706666667,0.293333333
128,512,,sqrt,0.733333333,0.266666667
128,512,,log2,0.753333333,0.246666667
